100,0.0009903907775878906,Insertion Sort,Nao,0,1
100,0.013994693756103516,Insertion Sort,Sim,0,1
100,0.0,Bucket Sort,Nao,10,1
100,0.0009975433349609375,Bucket Sort,Nao,100,1
100,0.0010030269622802734,Bucket Sort,Nao,1000,1
100,0.013998985290527344,Bucket Sort,Sim,10,1
100,0.014524459838867188,Bucket Sort,Sim,100,1
100,0.013999700546264648,Bucket Sort,Sim,1000,1
200,0.0,Insertion Sort,Nao,0,1
200,0.014000415802001953,Insertion Sort,Sim,0,1
200,0.0010025501251220703,Bucket Sort,Nao,10,1
200,0.0,Bucket Sort,Nao,100,1
200,0.03001117706298828,Bucket Sort,Nao,1000,1
200,0.014525890350341797,Bucket Sort,Sim,10,1
200,0.014249801635742188,Bucket Sort,Sim,100,1
200,0.015005350112915039,Bucket Sort,Sim,1000,1
500,0.0010001659393310547,Insertion Sort,Nao,0,1
500,0.014001131057739258,Insertion Sort,Sim,0,1
500,0.0,Bucket Sort,Nao,10,1
500,0.0009980201721191406,Bucket Sort,Nao,100,1
500,0.0020012855529785156,Bucket Sort,Nao,1000,1
500,0.012999534606933594,Bucket Sort,Sim,10,1
500,0.013995170593261719,Bucket Sort,Sim,100,1
500,0.013998985290527344,Bucket Sort,Sim,1000,1
1000,0.0010013580322265625,Insertion Sort,Nao,0,1
1000,0.014008760452270508,Insertion Sort,Sim,0,1
1000,0.000997781753540039,Bucket Sort,Nao,10,1
1000,0.0010080337524414062,Bucket Sort,Nao,100,1
1000,0.002000093460083008,Bucket Sort,Nao,1000,1
1000,0.01500248908996582,Bucket Sort,Sim,10,1
1000,0.012999773025512695,Bucket Sort,Sim,100,1
1000,0.015003204345703125,Bucket Sort,Sim,1000,1
2000,0.0041141510009765625,Insertion Sort,Nao,0,1
2000,0.031545400619506836,Insertion Sort,Sim,0,1
2000,0.0009996891021728516,Bucket Sort,Nao,10,1
2000,0.002001523971557617,Bucket Sort,Nao,100,1
2000,0.0030045509338378906,Bucket Sort,Nao,1000,1
2000,0.015996217727661133,Bucket Sort,Sim,10,1
2000,0.015007972717285156,Bucket Sort,Sim,100,1
2000,0.018999099731445312,Bucket Sort,Sim,1000,1
5000,0.009936332702636719,Insertion Sort,Nao,0,1
5000,0.0189359188079834,Insertion Sort,Sim,0,1
5000,0.0033609867095947266,Bucket Sort,Nao,10,1
5000,0.0029997825622558594,Bucket Sort,Nao,100,1
5000,0.004998683929443359,Bucket Sort,Nao,1000,1
5000,0.016999483108520508,Bucket Sort,Sim,10,1
5000,0.016715526580810547,Bucket Sort,Sim,100,1
